id,date,image,tags,project_url,caption,resolution,,https://script.google.com/u/0/home/projects/1GPsKSg1ipb4WJSjiYzCKSBVxh6KBv3esRBxa2aawCiD-jbVFR_PZWpF_/edit,dominantHue,secondaryHue,weight,saturation
MatStudy,,https://SborNutra.github.io/gallery01/assets/pics/MatStudy-1080x1920.png,,,,1080x1920,,,240,204,0.0398,0.8042
bacteria1,"Jan 1, 2025",https://SborNutra.github.io/gallery01/assets/pics/bacteria1-1000x1000.jpg,"2d, Abstract, Generative",,,1000x1000,,,0,0,0,0
bacteria2,"Jan 2, 2025",https://SborNutra.github.io/gallery01/assets/pics/bacteria2-1080x1920.jpg,"2d, Abstract, Generative",,,1080x1920,,,0,0,0,0
bacteria3,"Jan 3, 2025",https://SborNutra.github.io/gallery01/assets/pics/bacteria3-1000x1000.jpg,"2d, Abstract, Generative",,,1000x1000,,,299,329,0.1345,0.6982
bw,"Jan 4, 2025",https://SborNutra.github.io/gallery01/assets/pics/bw-1080x1355.jpg,"2d, Abstract, Generative",,,1080x1355,,,0,0,0,0
bw1,"Jan 5, 2025",https://SborNutra.github.io/gallery01/assets/pics/bw1-642x909.jpg,"2d, Abstract, Generative",,,642x909,,,0,0,0,0
bw2,"Jan 6, 2025",https://SborNutra.github.io/gallery01/assets/pics/bw2-642x909.jpg,"3d, Abstract, Generative",,,642x909,,,0,0,0,0
bw3,"Jan 7, 2025",https://SborNutra.github.io/gallery01/assets/pics/bw3-1052x990.jpg,"2d, Abstract, Generative",,,1052x990,,,0,0,0,0
chair1,"Jan 8, 2025",https://SborNutra.github.io/gallery01/assets/pics/chair1-1000x1000.jpg,"3d, Illustration",,,1000x1000,,,222,203,0.0537,0.7505
cyany,"Jan 9, 2025",https://SborNutra.github.io/gallery01/assets/pics/cyany-1080x1080.jpg,"2d, Abstract",,,1080x1080,,,60,195,0.3927,0.8051
cyany1,"Jan 10, 2025",https://SborNutra.github.io/gallery01/assets/pics/cyany1-1080x1080.jpg,"2d, Abstract",,,1080x1080,,,60,194,0.7659,0.6652
cyany2,"Jan 11, 2025",https://SborNutra.github.io/gallery01/assets/pics/cyany2-1080x1080.jpg,"2d, Abstract",,,1080x1080,,,194,60,0.3212,0.7459
eye1,"Jan 12, 2025",https://SborNutra.github.io/gallery01/assets/pics/eye1-1000x1000.jpg,"3d, Abstract",,,1000x1000,,,205,227,0.053,0.5855
grayGate,"Jan 13, 2025",https://SborNutra.github.io/gallery01/assets/pics/grayGate-1249x1156.jpg,"2d, Abstract",,,1249x1156,,,0,0,0,0
portrait1,"Jan 14, 2025",https://SborNutra.github.io/gallery01/assets/pics/portrait1-2511x2902.jpg,"2d, Illustration",,,2511x2902,,,328,184,0.214,0.6475
portrait3,"Jan 15, 2025",https://SborNutra.github.io/gallery01/assets/pics/portrait3-2480x3508.jpg,"2d, Illustration",,,2480x3508,,,35,90,0.2676,0.9248
rainbowPiece,"Jan 16, 2025",https://SborNutra.github.io/gallery01/assets/pics/rainbowPiece-540x540.jpg,"3d, Abstract",,,540x540,,,146,32,0.3591,0.9956
shiftfield,"Jan 17, 2025",https://SborNutra.github.io/gallery01/assets/pics/shiftfield-1080x1920.jpg,"2d, Abstract, Generative",,,1080x1920,,,224,266,0.0282,0.6565
shiftfield1,"Jan 18, 2025",https://SborNutra.github.io/gallery01/assets/pics/shiftfield1-1080x1920.jpg,"2d, Abstract, Generative",,,1080x1920,,,244,51,0.0264,0.9587
shiftfield2,"Jan 19, 2025",https://SborNutra.github.io/gallery01/assets/pics/shiftfield2-1080x1920.jpg,"2d, Abstract, Generative",,,1080x1920,,,239,47,0.0287,0.9525
targetRainbow,"Jan 20, 2025",https://SborNutra.github.io/gallery01/assets/pics/targetRainbow-1000x1000.jpg,"3d, Abstract",,,1000x1000,,,0,49,0.0382,0.9739
targetRainbow2,"Jan 21, 2025",https://SborNutra.github.io/gallery01/assets/pics/targetRainbow2-1000x1000.jpg,"3d, Abstract",,,1000x1000,,,120,0,0.0434,1
,"Jan 22, 2025",https://SborNutra.github.io/gallery01/assets/pics/volume1-1000x1000.jpg,"3d, Abstract",,,,,,213,183,0.0281,0.8196
